utc_start	utc_end	exit_code	sanitized_invocation	artifact	sha256
2026-08-24T12:32:08Z	2026-08-24T12:32:10Z	0	scripts/staging-task-window-aggregate.sh	pre-release-job-aggregate.txt	2932a38beda8316c7bd84df80807b1b35ab499668868c9eaf1f79120ed84bf92
2026-08-24T12:32:21Z	2026-08-24T12:32:21Z	0	node scripts/render-api-evidence.mjs maintenance-off srv-d9n28tijnfac73a87lt0	mutation-maintenance-disable.json	4825496950ca8512695fc790d02764f55260e948b9e9b3f0b3aa971eb0a18952
2026-08-24T12:32:21Z	2026-08-24T12:32:21Z	0	scripts/staging-health-probe.sh	final-external-health.txt	a52b38bc4ca87160444565a92d664d1cf1a04f25b0cab2fbec06218f5117fa60
2026-08-24T12:32:21Z	2026-08-24T12:32:22Z	0	node scripts/render-api-evidence.mjs get-service srv-d9n28tijnfac73a87lt0	post-release-service.json	3aeb8a0d47955cb4e885c04309e7faeccf3ddddb8aa4b10867aa9ac0f4f63483
2026-08-24T12:32:34Z	2026-08-24T12:32:34Z	0	scripts/staging-health-probe.sh	final-external-health-retry.txt	be7d33a736bf9b80e86d0d7bcdaa1b94257d0237fadc71a5471657c0409d414b
2026-08-24T12:33:13Z	2026-08-24T12:33:16Z	0	scripts/staging-task-window-aggregate.sh	final-task-window-job-aggregate.txt	2932a38beda8316c7bd84df80807b1b35ab499668868c9eaf1f79120ed84bf92
2026-08-24T12:33:16Z	2026-08-24T12:33:16Z	0	shasum -a 256 assets/probe/probe-teks.png	final-fixture-sha256.txt	491915bd8a03dd88e357bfc723e5023db5fc70c33c758d00ae8f3741f8919c5b
2026-08-24T12:33:16Z	2026-08-24T12:33:16Z	0	scripts/staging-db-allowlist-window.sh clear	mutation-db-allowlist-clear.json	3421b0e5a3fe5e5c6e755a185f054fd3aad53998e9e101fe5595f8094329ddf8
2026-08-24T12:33:16Z	2026-08-24T12:33:17Z	0	node scripts/render-postgres-evidence.mjs dpg-d9n21fnlk1mc73djm8q0-a	final-staging-database-allowlist.json	e287363ad58fec3d6e97ca9ed7fbcc9bfe4fa85db00bd12a414e7e439f5be3d4
2026-08-24T12:33:17Z	2026-08-24T12:33:32Z	0	sleep 15	sustained-wait-1.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:33:32Z	2026-08-24T12:33:32Z	0	scripts/staging-health-probe.sh	sustained-health-1.txt	91eafb31570ad26e2a04ef5d0c8deaa72278f22a5a70ebb0d459e19307d00215
2026-08-24T12:33:32Z	2026-08-24T12:33:47Z	0	sleep 15	sustained-wait-2.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:33:47Z	2026-08-24T12:33:47Z	0	scripts/staging-health-probe.sh	sustained-health-2.txt	8eea5d0d0f49817cd000a906a9b764a383fac16a35be782344e669df45d7444b
2026-08-24T12:24:13Z	2026-08-24T12:33:54Z	0	node scripts/maintenance-health-sampler.mjs	maintenance-health-sampler.jsonl	0d0104f257893052c337f6af5b9cd93912447990409fb89cfa9fd1954330f012
2026-08-24T12:34:02Z	2026-08-24T12:34:03Z	0	node scripts/render-api-evidence.mjs get-service srv-d9n28tijnfac73a87lt0	final-staging-web-service.json	919ef99f673716ea1241ea68f2eb0c4273a126d07610857d500f7e11b404c0fa
2026-08-24T12:34:03Z	2026-08-24T12:34:03Z	0	render deploys list srv-d9n28tijnfac73a87lt0 --output json	final-staging-web-deploys.json	0046e090b6911004750e760c990b769ce4472ce5d846f81af00ec09e9cacb5ad
2026-08-24T12:34:03Z	2026-08-24T12:34:04Z	0	node scripts/render-api-evidence.mjs get-service srv-d9n28ue417fc73ch2b60	final-staging-worker-service.json	10d9135fa79cddabe360ce6abd58b296bc860614610b076150babb628c630f62
2026-08-24T12:34:04Z	2026-08-24T12:34:04Z	0	render deploys list srv-d9n28ue417fc73ch2b60 --output json	final-staging-worker-deploys.json	6b35d684c9cebd672753f331ab99137f85373d960af06bd10d15b464f950e6e0
2026-08-24T12:34:04Z	2026-08-24T12:34:05Z	0	node scripts/render-api-evidence.mjs get-service srv-d9nhccfqj5pc73et9hrg	final-production-web-service.json	70a627967fa43a648ca71f3b785d7f0d5c56a5fd28335ce6609a21227f95b087
2026-08-24T12:34:05Z	2026-08-24T12:34:05Z	0	render deploys list srv-d9nhccfqj5pc73et9hrg --output json	final-production-web-deploys.json	7564e36be133d945f5916a4a365c24b8a245533bdee024a47f62a9a8c1bffabb
2026-08-24T12:34:05Z	2026-08-24T12:34:06Z	0	node scripts/render-api-evidence.mjs get-service srv-d9ni3ndaeets73c07kq0	final-production-worker-service.json	79e46952f1da26fb3857ef67a7eba854f0d7c2eabf810ae573fa8d4e8cfb1df1
2026-08-24T12:34:06Z	2026-08-24T12:34:06Z	0	render deploys list srv-d9ni3ndaeets73c07kq0 --output json	final-production-worker-deploys.json	1d73a2d79e467ea725f0a867ce171d6a287b24e93b853c83dc8fa010864fddcf
2026-08-24T12:34:06Z	2026-08-24T12:34:07Z	0	git ls-remote origin refs/heads/main	final-origin-main-ref.txt	11c7e32b23109d22ae98d2c6a8516eb97d6f2d2f11b3d0a1a0341ad13c0254dc
2026-08-24T12:34:07Z	2026-08-24T12:34:07Z	0	git ls-remote origin refs/heads/staging/exact-73280ff-20260824	final-origin-staging-ref.txt	8be356c06dac6087ac4492d23afb3719aa27d7e9bd6bd636131965bd416d9f92
2026-08-24T12:40:37Z	2026-08-24T12:40:37Z	0	sh -n scripts/managed-retry-capture.sh scripts/staging-db-allowlist-window.sh scripts/staging-health-probe.sh scripts/staging-migration-state.sh scripts/staging-task-window-aggregate.sh scripts/verify-managed-command-ledger.sh	final-shell-syntax.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:40:37Z	2026-08-24T12:40:37Z	0	node --check scripts/render-api-evidence.mjs	final-node-syntax.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:40:37Z	2026-08-24T12:40:37Z	0	node --check scripts/render-postgres-evidence.mjs	final-node-syntax-postgres.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:40:37Z	2026-08-24T12:40:37Z	0	node --check scripts/maintenance-health-sampler.mjs	final-node-syntax-sampler.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
